"netease_id","qq_id","name","artist","album","ne_name","ne_artist","qq_name","qq_artist","match_source","synced"
"1403150208","240145452","Phoenix（涅槃）—英雄联盟2019全球总决赛主题曲（翻自 Cailin Russo）","-Lil Marron-","Phoenix（涅槃）","Phoenix（涅槃）—英雄联盟2019全球总决赛主题曲（翻自 Cailin Russo）","-Lil Marron-","","","manual","1"
"1409311773","247294300","夜に駆ける","YOASOBI","夜に駆ける","夜に駆ける","YOASOBI","夜に駆ける","YOASOBI","manual","1"
"1412559986","384947770","吹灭小山河","国风堂","观风月·竹马篇","吹灭小山河","国风堂","","","manual","1"
"1417453306","263960625","Prover","milet","Prover / Tell me","Prover","milet","Prover","milet","manual","1"
"1417621861","251560227","恋音と雨空","Lefty Hand Cream","1LDK","恋音と雨空","Lefty Hand Cream","","","manual","1"
"1420533652","253335452","Tell me","milet","Prover / Tell me","Tell me","milet","Tell me","milet","manual","1"
"1429420739","255394588","春はゆく","Aimer","春はゆく / marie","春はゆく","Aimer","春はゆく","Aimer","manual","1"
"1431292823","255722346","夜航星 (Night Voyager)","蔡明希（不才）","我的三体之章北海传 原声音乐集","夜航星 (Night Voyager)","蔡明希（不才）","","","manual","1"
"1445787052","262805384","猫 (The First Take Version)","北村匠海","猫 〜THE FIRST TAKE ver.〜","猫 (The First Take Version)","北村匠海","","","manual","1"
"1448496938","265398455","Life goes on","平井 大","Life goes on","Life goes on","平井 大","","","manual","1"
"1454730043","323336266","赤伶","李玉刚","赤伶","赤伶","李玉刚","","","manual","1"
"145650","480811","你快回来","孙楠","楠得精选","你快回来","孙楠","你快回来","孙楠","manual","1"
"1460137406","284722992","LiSA-紅蓮華（ROCK_2027 remix）","さようなら","鬼滅の刃（鬼灭之刃）","LiSA-紅蓮華（ROCK_2027 remix）","さようなら","","","manual","1"
"1470427638","312352466","躍動","坂本真綾","躍動","躍動","坂本真綾","","","manual","1"
"1472480890","275094701","群青","YOASOBI","群青","群青","YOASOBI","群青","YOASOBI","manual","1"
"1477670","333677","Take Me Home Country Roads","John Denver","Take Me Home: The John Denver Story","Take Me Home Country Roads","John Denver","","","manual","1"
"1484336476","279242313","恋のうた","Yunomi","恋のうた  feat. 由崎司","恋のうた","Yunomi","","","manual","1"
"1485787692","280038676","Christmas Song","back number","Classic Christmas Hits","Christmas Song","back number","","","manual","1"
"1486106274","292356870","春を告げる","yama","春を告げる","春を告げる","yama","春を告げる","yama","manual","1"
"1491585","212734310","Traveling Light","Joel Hanson","Traveling Light","Traveling Light","Joel Hanson","","","manual","1"
"1494812318","345452046","Call of Silence x Zero Eclipse","Samuel Kim","Attack on Titan: Epic Collection (Cover)","Call of Silence x Zero Eclipse","Samuel Kim","","","manual","1"
"150361","106698217","三国恋","Tank","Fighting!生存之道","三国恋","Tank","三国恋","Tank","manual","1"
"16343605","232353775","Runnin'","Adam Lambert","Trespassing (Deluxe Version)","Runnin'","Adam Lambert","Runnin'","Adam Lambert","manual","1"
"16426485","214789151","Riverside","Agnes Obel","Philharmonics","Riverside","Agnes Obel","Riverside","Agnes Obel","manual","1"
"167975","5193769","曾经的你","许巍","每一刻都是崭新的","曾经的你","许巍","卒業メモリーズ〜サヨナラ、あなた。〜","沢井美空","manual","1"
"1803908863","289448163","怪物","YOASOBI","怪物","怪物","YOASOBI","怪物","YOASOBI","manual","1"
"1807799505","291692590","唯一","告五人","运气来得若有似无","唯一","告五人","唯一","告五人","manual","1"
"1843271239","307890377","Cry Baby","Official髭男dism","Cry Baby","Cry Baby","Official髭男dism","Cry Baby","Official髭男dism","manual","1"
"1859245776","318931533","STAY","The Kid LAROI","STAY","STAY","The Kid LAROI","STAY","The Kid LAROI","manual","1"
"18671843","213876746","The Imperial March (Darth Vader's Theme)","John Williams","Star Wars Episode V: The Empire Strikes Back (Original Motion Picture Soundtrack)","The Imperial March (Darth Vader's Theme)","John Williams","The Imperial March (Darth Vader's Theme)","John Williams","manual","1"
"1869929814","321565147","生命線","ReoNa","月姫 -A piece of blue glass moon- THEME SONG E.P.","生命線","ReoNa","生命線","ReoNa","manual","1"
"1870469768","320634695","老人と海","ヨルシカ","老人と海","老人と海","ヨルシカ","","","manual","1"
"1874642688","338156155","Trigger","佐久間貴生","Trigger","Trigger","佐久間貴生","Trigger","佐久間貴生","manual","1"
"1882027016","399013415","Unchained World","GENERATIONS from EXILE TRIBE","Unchained World","Unchained World","GENERATIONS from EXILE TRIBE","","","manual","1"
